claim_id,record_exists,holder_name_matches,holder_name_official,client_scope,approved_domains,register_url,status_notes
xs-CySEC-412-22,yes,exact,"XS Markets Ltd (register displays it as ""XS Markets Ltd (ex RockFrost Ltd)"")","In Cyprus: reception and transmission of orders, and execution of orders on behalf of clients, for financial instruments 1-10; ancillary services — safekeeping and administration of financial instruments, granting of credit/loans related to transactions, and foreign-exchange services connected to investment services. Cross-border (Austria, Germany, Greece, Italy, Portugal, Spain): restricted to financial instrument 9 only, for reception/transmission and execution of orders, plus related ancillary services.","www.xsmarkets.com — this is the ONLY domain the CySEC List of Approved Domains publishes for this entity (row 244, entity named ""XS Markets Ltd (ex RockFrost Ltd)""). The domain ""xs.com"" does NOT appear anywhere in the approved-domains list. Checked at https://www.cysec.gov.cy/en-gb/entities/investment-firms/approved-domains/ . For completeness, ""xs.com"" also does NOT appear on CySEC's List of Non-Approved Domains (last updated 12 June 2026, https://www.cysec.gov.cy/en-GB/investor-protection/non-approved-domains/), so the register publishes no entry either way for that domain.",https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/92585/,"Active / currently authorised. Listed in the current CIF regulated-entities list (register page states ""CIF REGULATED ENTITIES LIST AS OF 04 MAY 2026""). No suspension, withdrawal, or voluntary-renunciation notation shown. Licence date 04/04/2022. Company registration number HE 386563. Former name recorded by the register: RockFrost Ltd. Approved trade name: ""XS Markets"". Registered address: 247 Franklinou Rousvelt, Block B, 1st floor, 3046 Limassol, Cyprus."
m4markets-CySEC-301-16,yes,n/a,"Harindale Ltd (former name recorded by the register: ICC Intercertus Capital Ltd). Approved trade name: ""M4Markets"".","Reception and transmission of orders; execution of orders on behalf of clients; dealing on own account; portfolio management — all for financial instruments 1-10. Ancillary services: safekeeping and administration of financial instruments including custodianship (1-10), granting of credit/loans related to financial-instrument transactions (1-10), and foreign-exchange services connected to investment services. Cross-border passporting into 28 EU/EEA member states. The register also publishes third-country service provision including Belarus, Indonesia, China, Lebanon, Malaysia, Mexico, Nigeria, Switzerland, Thailand, Ukraine and the UAE — China is among the third countries the register lists for this entity, which is directly relevant context for a Chinese-language page.","www.m4markets.eu/ — this is the ONLY domain the CySEC List of Approved Domains publishes for Harindale Ltd (row 103). The domain ""m4markets.com"" (dot-com) does NOT appear in the approved-domains list; the listed domain is the .eu domain. Checked at https://www.cysec.gov.cy/en-gb/entities/investment-firms/approved-domains/ . ""m4markets"" also does NOT appear on CySEC's List of Non-Approved Domains (last updated 12 June 2026), so the register publishes no entry either way for m4markets.com. Register-published contact email for the entity is support@m4markets.eu, consistent with the .eu domain.",https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/79360/,"Active / currently authorised. Listed in the current CIF regulated-entities list (register page states ""CIF REGULATED ENTITIES LIST AS OF 04 MAY 2026""). No suspension, withdrawal, or voluntary-renunciation notation shown. Licence date 27/04/2016. Company registration number 346662. Former name: ICC Intercertus Capital Ltd. Approved trade name: M4Markets."
xs-LFSA-MB21-0081,yes,close-variant,XS Finance Limited (formerly known as Blaza International Ltd.),"UNVERIFIABLE-TODAY - the Labuan FSA List of Money Brokers does not publish any client-scope, permitted-activity or client-type field. The only scope signal is the list itself, i.e. inclusion in the money broking category. No scope detail is published per licensee.","UNVERIFIABLE-TODAY - the Labuan FSA money brokers list publishes no website, domain or approved-URL field for any licensee. There is therefore no official basis on this register to relate the licence to xs.com or any other domain.","https://www.labuanfsa.gov.my/areas-of-business/financial-services/money-broking/list-of-money-brokers + data file https://www.labuanfsa.gov.my/clients/asset_120A5FB8-61B6-45E8-93F0-3F79F86455C8/excel_files/List_of_Labuan_Money_Brokers.xlsx (both retrieved 2026-08-01, HTTP 200)","The list is a flat roster of current money brokers; it publishes no per-entity status, licence-issue date, expiry or condition fields. Presence on the list is the only status signal available. Page states 'Last updated 10 Oct 2025'; the downloadable XLSX carries an internal last-modified timestamp of 2025-12-11. The file contains 102 licensee rows (dimension A1:K103 incl. header)."
fpmarkets-FSCA-FSP50926,yes,exact,FP MARKETS (PTY) LTD,"Register publishes the authorised service types rather than a client-type scope. Under CATEGORY I, the single product subcategory approved is 'Derivative instruments', and within that the approval is marked ONLY in the 'Intermediary Other' column. The columns 'Advice Automated', 'Advice Non-automated' and 'Intermediary Scripted' are all blank for this FSP. No client-type (retail/professional) or territorial-scope field is published by this register - UNVERIFIABLE-TODAY for those dimensions.","UNVERIFIABLE-TODAY - the FSCA FAIS FSP register publishes no website, domain or approved-URL field. The detail record carries physical address, telephone, contact person and compliance officer only. There is therefore no official basis on this register to relate FSP 50926 to fpmarkets.com or any other domain.","Search form https://www2.fsca.co.za/Fais/Search_FSP.htm ; results and detail served by POST to https://www2.fsca.co.za/MagicScripts/mgrqispi.dll (APPNAME=Web, PRGNAME=Display_Search_Results / 'Display Details', FSP_No=50926). Both queried 2026-08-01, HTTP 200. The register returns no GET-addressable permalink per FSP, so the number must be re-entered on the search form to reproduce.","Status published as 'Authorized' in the search-results row. Date Authorised: 17/05/2022. FSP Type: Company - Private. Company registration number 2018/097037/07. Financial year end 30/06. No trading name is published in the Trading Name column. Contact person MR R BRESCIANINO; compliance officer MR LGS D`ONOFRIO. Key Individual: ROGER BRESCIANINO, 'Conditions Apply' = No, with Class of Business / Crypto Oversee columns present. No suspension, lapse, withdrawal or debarment flag appears on the record as at 2026-08-01."
darwinex-FCA-586466,yes,exact,"TRADESLIDE TRADING TECH LTD (registered name, effective 15 Jul 2013). Current trading name on the same record: ""DarwinEx"", effective 07 Mar 2014. Previous trading names on record: Capriva (02 Dec 2021 - 20 Feb 2024), Machina and Machina Markets (09 Nov 2020 - 02 Dec 2021), TradeSlide (07 Mar 2014 - 05 Jun 2014).","Register publishes per-activity customer types. Advising on investments (except Pension Transfers/Opt Outs), Arranging (bringing about) deals in investments, Arranging safeguarding and administration of assets, Dealing in investments as agent, Dealing in investments as principal, Making arrangements with a view to transactions in investments, Safeguarding and administration of assets (without arranging): Eligible Counterparty, Professional, Retail (Investment). Managing investments: Professional and Retail (Investment) only (no Eligible Counterparty). Investment types across these activities include Contract for Differences (excluding a spread bet, a rolling spot forex contract and a binary bet), Rolling spot forex contract, Spread Bet, Future, Option, Commodity Future, Share, Unit, and rights to/interests in investments. Other activities: Agreeing to carry on a regulated activity, limited to the regulated activities specified in the Notice. Restrictions section: ""This firm can hold and can control client money"".","The FCA Financial Services Register publishes no ""approved domains"" field, so approved-domain scope is UNVERIFIABLE-TODAY as a register field. The record's own published Website field is www.darwinex.com and the published email is compliance@darwinex.com. Register-published address: Canary Wharf Contractors (Crossrail) Ltd, 1 Canada Square, London, Tower Hamlets, E14 5AB, United Kingdom; phone +442037691554; Companies House number 08061368.","https://register.fca.org.uk/s/firm?id=001b000000NMcTBAA1 (FRN 586466 firm record; reached via https://register.fca.org.uk/s/search?q=586466&type=Companies, which returned exactly 1 match). Checked 2026-08-01.","Status: Authorised, since 15/07/2013. Type: Regulated. Firm details confirmed as correct by the firm (annual confirmation). Register Notices section is present and carries one entry under ""Clones of this firm"": ""darwinexitltd (Clone of FCA authorised firm)"", added to the FS Register on 25 Feb 2026. That notice concerns a separate third-party site, not this record's own status. No waivers, modifications or exclusions were listed as current."
icmarkets-FCA-739090,yes,different-entity,"Pelican Exchange Limited (registered name, effective 03 Mar 2016). This is the only name on the record - the register lists 1 current name, type Registered, and no trading names.","No client-type or permission scope is published for this record. The register does not render a ""What can this firm do in the UK?"" / permissions section for it, because the record is an Appointed Representative rather than a directly authorised firm - an AR has no permissions of its own and, in the register's own wording, ""can only carry out the regulated business that its principal firm allows it to, and the principal firm is responsible for that business"". Principal firms section lists one, under ""Previous"": London & Eastern LLP, firm reference number 534484, AR Relationship ""Full"", effective from 03 Mar 2016, effective to 25 Jun 2026. So the specific permissions attaching to this FRN are UNVERIFIABLE-TODAY from this record - the register publishes them on the principal's record, not the AR's.","The FCA register publishes no ""approved domains"" field, so approved-domain scope is UNVERIFIABLE-TODAY as a register field. The website published on the FRN 739090 record is https://pelicantrading.io/ and the published email is mike.read@pelicantrading.io. The domain icmarkets.sc does not appear anywhere on the FRN 739090 register record. Register-published address: 8 Hermitage Street, London, W2 1BE, United Kingdom; phone +4402034754516; Companies House number 09437275. The register notes these contact details are correct as of 08/07/2026, the date the firm ceased to be an Appointed Representative.","https://register.fca.org.uk/s/firm?id=001b000003Jh2GeAAJ (FRN 739090 firm record; reached via https://register.fca.org.uk/s/search?q=739090&type=Companies, which returned exactly 1 match). Checked 2026-08-01.","Status: ""No longer registered as an Appointed Representative"", since 08/07/2026. Sub status: ""Former"", since 08/07/2026. Type: Appointed Representative. Register banner text: ""This firm is no longer registered with the FCA as an Appointed Representative of an authorised firm, and can no longer carry on regulated activities. Do not start to do regulated business with an AR that is no longer registered."" The AR relationship with principal London & Eastern LLP (FRN 534484) ran 03 Mar 2016 to 25 Jun 2026. No Notices section and no clone entries are present on this record; no waivers, modifications or exclusions section is rendered."
fpmarkets-FSASC-SD130,yes,exact,First Prudential Markets Limited,"Securities Dealer (Capital Markets). The FSA Seychelles register publishes no sub-scope, client-classification or permitted-instrument detail.",Register entry lists website https://www.fpmarkets.com/sc/ and email compliancesc@fpmarkets.com. The page displaying the claim is fpmarkets.com — same registrable domain as the URL published in the register. The FSA does not label this field as an 'approved domain'; it is the website recorded against the entry.,https://fsaseychelles.sc/regulated-entities/capital-markets,"UNVERIFIABLE-TODAY for licence status/date: the Seychelles FSA capital-markets listing publishes name, address, trade name, phone, email, website and (sometimes) a contact person only — no status, issue-date or expiry field. No FSA regulatory update naming this entity was found in the FSA media-corner search."
icmarkets-FSASC-SD018,yes,exact,Raw Trading Ltd,Securities Dealer (Capital Markets). No sub-scope or client-classification detail published. A separate register entry exists for a Securities Dealer's Representative accredited with Raw Trading Ltd (Mr. Constantinos Aristophanous).,"Register entry lists websites https://www.icmarkets.sc and https://www.icmarkets.com, email support@icmarkets.com, and trade names 'IC Markets Global' and 'IC MARKETS (SC)'. The page displaying the claim is icmarkets.sc — one of the two URLs recorded in the register entry.",https://fsaseychelles.sc/regulated-entities/capital-markets,"UNVERIFIABLE-TODAY for licence status/date: no status, issue-date or expiry field is published in the Seychelles capital-markets listing. No FSA regulatory update naming Raw Trading Ltd was found."
xs-FSASC-SD089,yes,exact,XS LTD,Securities Dealer (Capital Markets). No sub-scope or client-classification detail published.,"Register entry lists website https://www.xs.com, email info@xs.com, and contact person Giorgos Kadis. The page displaying the claim is xs.com — the same domain recorded in the register entry.",https://fsaseychelles.sc/regulated-entities/capital-markets,"UNVERIFIABLE-TODAY for licence status/date: no status, issue-date or expiry field is published. No FSA regulatory update naming XS LTD was found."
xs-FSCMU-GB25204786,yes,exact,XS Trade Services Ltd,"SEC-2.1B Investment Dealer (Full Service Dealer excluding Underwriting), issued under the Securities Act 2005. FSC Category: Global Business (record still returned when the Category filter is set to 'Global Business'). Management Company (Mc Name): Legacy Capital Co Ltd.","UNVERIFIABLE-TODAY / NOT PUBLISHED. The OPR detail record has a 'Website' field, but it is blank for this licensee, as are Email, Telephone, Mobile, Fax and Contact Person. The FSC OPR therefore publishes no approved-domain information for this entity.",https://opr.fscmauritius.org/ords/opr/r/fsc-opr/fsc-online-public-register-opr,"Date of Licence / Approval / Authorisation / Registration: 13/08/2025. Licensee Status: 'COMPANY IS INCORPORATED'. Annotations field: blank. Business / Registered Office Address: 2ND FLOOR, SUITE 201, THE CATALYST, Cybercity Ebene, Mauritius. Not present on the FSC surrendered-licences list at http://www.fscmauritius.org/licensing-supervision/surrendered-licences."
